Race_ID,Horse,Predicted_Probability
58,Signora Bellissima,0.023989335413443738
58,Sonnerie Power,0.12493029901002076
58,Ribba Hill,0.08100966152980749
58,Orange N Blue,0.023989335413443738
58,Ever Hopefull,0.12493029901002076
58,Percy Willis,0.09368342159565218
58,Hartswood,0.05939471146232692
58,Urban Road,0.12493029901002076
58,Alpine Sierra,0.12493029901002076
58,Midnight Lion,0.1372026770154354
58,Life On The Rocks,0.08100966152980749
59,Fleurman,0.13196234664592207
59,Cello,0.2863502731532011
59,Dreams Adozen,0.13196234664592207
59,Hedonista,0.194692770039459
59,Something,0.23195917875871652
59,Quercus Robur,0.023073084756779303
60,Albasheer,0.1188166974572813
60,Saint Lawrence,0.029028510751989534
60,Malc,0.11336246562080844
60,Juan Les Pins,0.029028510751989534
60,Amazonian Dream,0.11336246562080844
60,Fire Demon,0.07187110399603888
60,Rohaan,0.0859655692197384
60,We Never Stop,0.1625912702047007
60,The Caltonian,0.07187110399603888
60,Secret Guest,0.20410230238060595
61,Popmaster,0.09215914724981267
61,Symbol Of Light,0.05842833092862568
61,Qazaq,0.29287740001739243
61,Blue Prince,0.09215914724981267
61,Empirestateofmind,0.09215914724981267
61,Apiarist,0.23724650386024265
61,Storm Star,0.1349703234443011
62,Dicko The Legend,0.11942958947035578
62,Showtime Mahomes,0.19351139311968688
62,Novak,0.056779548779331473
62,Blackjack,0.06379342404684649
62,Moyola,0.056779548779331473
62,Too Much,0.07744278766883722
62,Rory,0.056779548779331473
62,Howzak,0.040811942092081915
62,Profit Street,0.08955851919036519
62,Kats Bob,0.07744278766883722
62,Wee Fat Mac,0.08955851919036519
62,Bellagio Man,0.07811239121462964
63,Papa Don't Preach,0.08119838053165064
63,The Gay Blade,0.15201393243026814
63,King Of The Jungle,0.1853963023468969
63,Show Me Show Me,0.15201393243026814
63,Stone Of Destiny,0.07227088805915072
63,Hard Nut,0.07227088805915072
63,Doon The Glen,0.11399304598747098
63,Rockley Point,0.07227088805915072
63,Elzaal,0.09857174209599294
64,Jamie Bond,0.09747850710235344
64,Masterclass,0.11272877709807973
64,Rogue De Vega,0.15032798322292146
64,Oriental Prince,0.16509527225946932
64,Three Beauz,0.11272877709807973
64,Piperstown,0.1930596734430364
64,Pockley,0.09711166039490816
64,Shatin Venture,0.07146934938115185
1939,Triple Force,0.07543515808220315
1939,Come On John,0.2772344168752023
1939,Fifty Sent,0.05530759373385229
1939,Treasure Storm,0.06615382974730277
1939,Inspiring Speeches,0.1494020314671229
1939,Violeta,0.11633349253792666
1939,Dragons Will Rise,0.022338561537308316
1939,Jujubella,0.11633349253792666
1939,Blackstone Cliff,0.06615382974730277
1939,Tiger Trap,0.05530759373385229
1940,Lahab,0.12867957642644187
1940,Brazilian Rose,0.12601949133354268
1940,McCauley's Tavern,0.11716956483020838
1940,Spartan Fighter,0.06662926792828931
1940,Art Fantastique,0.11716956483020838
1940,Noble Consort,0.27922686126382634
1940,Athollblair Boy,0.022499105607148604
1940,Thunderstorm Katie,0.07597729985204522
1940,Mr Stanley,0.06662926792828931
1941,Jimmy Knocker,0.06737497064568823
1941,Yoshimi,0.10627070364670843
1941,Giselles Izzy,0.06737497064568823
1941,Oriental Prince,0.4131977008953652
1941,Korroor,0.08058771022967688
1941,Hurstwood,0.06737497064568823
1941,Sydney Bay,0.10627070364670843
1941,Badosa,0.09154826964447639
1942,Jump The Gun,0.06935285048838398
1942,Bobby Joe Leg,0.051040246680747636
1942,Kalganov,0.03668665279457994
1942,Streak Lightning,0.06961483617321469
1942,Finn Ironside,0.11790373768493788
1942,Angel Of Antrim,0.2558439460193446
1942,Pallas Lord,0.051040246680747636
1942,Conquest Of Power,0.06961483617321469
1942,Impeach,0.051040246680747636
1942,Ravensbourne,0.20724740701499542
1942,Mickey Mongoose,0.02061499360908578
1943,Sanat,0.14817846180894992
1943,Thunder Star,0.23454368613814291
1943,Wrestling Revenue,0.14817846180894992
1943,Water Of Leith,0.1306743394198225
1943,Rodborough,0.0461186752978613
1943,Castan,0.23454368613814291
1943,Gustav Graves,0.057762689388130624
3821,Rainyniteingeorgia,0.10976969449902181
3821,Diamond Dreamer,0.09491973762419477
3821,Nogo's Dream,0.16076159136710338
3821,Master Of My Fate,0.1879919388771939
3821,Level Up,0.0781900452572717
3821,Harb,0.17852751712682483
3821,Gogo Yubari,0.09491973762419477
3821,Pop Dancer,0.09491973762419477
3822,True Courage,0.07216030237340079
3822,Knockbrex,0.13936153634776377
3822,Crystal Mariner,0.12689605469187246
3822,Therapist,0.12689605469187246
3822,Damascus Steel,0.08228433391672245
3822,Gallant Lion,0.11398382456533106
3822,Raintown,0.12689605469187246
3822,Early Morning Dew,0.07216030237340079
3822,Hebridean Nomad,0.13936153634776377
3823,Havana Sky,0.24122016241667496
3823,Lord Rapscallion,0.16400830036975167
3823,Tadreeb,0.10886646803805199
3823,Charlie Mason,0.24122016241667496
3823,Juan Solo,0.01943666123030479
3823,Crow's Nest,0.10122114086985773
3823,The Smiling Wolf,0.07590426733664636
3823,Lahina Bay,0.04812283732203763
3824,Sedgemoor,0.0711831712203294
3824,Flag Carrier,0.0711831712203294
3824,Secret Strength,0.08514272764140339
3824,Sonmarg,0.0711831712203294
3824,Overnight Oats,0.3568122138808001
3824,Star Pupil,0.16103498600146635
3824,Kondratiev Wave,0.11227738759501255
3824,Mount Mogan,0.0711831712203294
3825,Gordon Grey,0.08713717646597147
3825,Joycean Way,0.08713717646597147
3825,Rey De La Batalla,0.07641606491112425
3825,Tribal Wisdom,0.07641606491112425
